"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\create-ingresos\create-ingresos.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\create-ingresos\create-ingresos.component.html", "HTML", 0, 0, 0, 0, 366, 0, 0, 0, 46, 43, 455
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\create-ingresos\create-ingresos.component.ts", "TypeScript", 0, 0, 167, 0, 0, 0, 0, 0, 0, 25, 192
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\detalle-ingresos\detalle-ingresos.component.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\detalle-ingresos\detalle-ingresos.component.html", "HTML", 0, 0, 0, 0, 225, 0, 0, 0, 80, 43, 348
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\detalle-ingresos\detalle-ingresos.component.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 1, 24, 130
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\index-ingresos\index-ingresos.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\index-ingresos\index-ingresos.component.html", "HTML", 0, 0, 0, 0, 232, 0, 0, 0, 57, 44, 333
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\ingresos\index-ingresos\index-ingresos.component.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\detalle-inventario\detalle-inventario.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\detalle-inventario\detalle-inventario.component.html", "HTML", 0, 0, 0, 0, 123, 0, 0, 0, 7, 19, 149
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\detalle-inventario\detalle-inventario.component.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 20, 101
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\index-inventario\index-inventario.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\index-inventario\index-inventario.component.html", "HTML", 0, 0, 0, 0, 184, 0, 0, 0, 74, 37, 295
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\inventario\index-inventario\index-inventario.component.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 26, 163
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 55, 0, 0, 0, 37, 19, 111
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 20, 107
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\create-producto\create-producto.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\create-producto\create-producto.component.html", "HTML", 0, 0, 0, 0, 556, 0, 0, 0, 70, 14, 640
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\create-producto\create-producto.component.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 0, 0, 0, 18, 228
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\edit-producto\edit-producto.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\edit-producto\edit-producto.component.html", "HTML", 0, 0, 0, 0, 476, 0, 0, 0, 81, 40, 597
